Customer_ID,Age,Gender,Product_Category,Purchase_Amount,Discount_Percent,Payment_Method,Customer_Rating,Previous_Purchases,Returned
1,58,Male,Electronics,431.81,20,Credit Card,2.6,13,No
2,32,Male,Beauty,112.23,0,PayPal,4.5,24,No
3,35,Male,Clothing,68.19,30,Bank Transfer,4.3,1,Yes
4,42,Male,Beauty,35.05,25,Credit Card,4.4,7,No
5,24,Female,Home & Kitchen,67.64,25,Debit Card,2.7,20,No
6,28,Female,Books,29.77,0,Cash,4.6,7,No
7,35,Male,Clothing,112.84,25,Debit Card,2.9,14,No
8,65,Female,Sports,165.12,0,Credit Card,2.6,24,No
9,58,Male,Sports,204.43,30,Credit Card,2.5,30,No
10,59,Female,Electronics,183.38,30,Credit Card,3.8,5,No
11,58,Male,Clothing,48.58,15,Cash,2.8,0,No
12,33,Male,Clothing,166.46,30,PayPal,2.8,4,No
13,34,Female,Clothing,174.34,10,PayPal,4.7,14,Yes
14,33,Male,Electronics,275.13,5,Cash,4.8,2,Yes
15,50,Male,Home & Kitchen,55.27,30,Debit Card,4.5,15,Yes
16,24,Female,Home & Kitchen,254.79,15,Credit Card,3.3,23,No
17,30,Male,Beauty,117.14,30,Credit Card,3.9,27,Yes
18,23,Male,Clothing,111.11,15,PayPal,4.8,8,No
19,45,Female,Clothing,70.07,0,Bank Transfer,3.7,18,No
20,21,Male,Clothing,28.5,20,Credit Card,2.6,19,No
21,60,Female,Home & Kitchen,106.48,10,Credit Card,4.4,29,Yes
22,47,Male,Electronics,372.0,10,Bank Transfer,3.6,5,No
23,57,Male,Sports,56.74,0,Cash,3.9,23,No
24,56,Male,Sports,274.74,0,Cash,4.1,2,Yes
25,18,Female,Clothing,80.25,0,Debit Card,4.7,30,Yes
26,41,Male,Books,77.57,5,Credit Card,3.1,21,No
27,53,Female,Beauty,124.93,15,Cash,2.9,0,No
28,60,Male,Home & Kitchen,145.81,15,Debit Card,3.3,11,No
29,19,Male,Books,24.58,30,Credit Card,3.3,17,Yes
30,34,Male,Beauty,108.17,20,Bank Transfer,2.8,16,No
31,34,Male,Sports,216.3,5,Cash,3.6,11,No
32,60,Male,Sports,168.59,5,PayPal,4.2,13,No
33,57,Female,Books,41.39,15,Debit Card,3.6,14,No
34,65,Male,Sports,173.67,25,Debit Card,3.1,9,No
35,19,Male,Clothing,120.44,25,PayPal,3.5,22,No
36,27,Male,Electronics,393.83,30,PayPal,3.6,3,No
37,46,Female,Beauty,125.14,10,PayPal,4.4,24,No
38,35,Female,Electronics,444.04,15,Debit Card,2.9,22,Yes
39,44,Female,Home & Kitchen,79.9,25,Bank Transfer,4.6,0,No
40,48,Male,Home & Kitchen,251.94,30,PayPal,4.7,19,No
41,35,Female,Books,44.07,5,PayPal,3.8,19,Yes
42,23,Female,Clothing,52.53,15,PayPal,4.4,8,No
43,23,Female,Electronics,544.4,0,Debit Card,2.6,24,No
44,19,Male,Clothing,165.28,5,Credit Card,4.0,19,No
45,37,Male,Beauty,80.45,0,Debit Card,4.2,18,Yes
46,62,Female,Sports,128.52,10,Cash,3.8,2,Yes
47,44,Female,Electronics,279.03,20,Bank Transfer,4.1,30,No
48,47,Female,Sports,104.28,30,PayPal,3.9,14,No
49,19,Female,Home & Kitchen,292.68,10,Debit Card,2.5,17,Yes
50,33,Female,Books,66.66,10,Debit Card,3.5,7,No
51,60,Female,Books,53.58,10,Debit Card,3.1,8,No
52,25,Male,Clothing,131.37,0,Debit Card,3.0,26,No
53,29,Female,Electronics,389.23,25,Credit Card,4.4,27,Yes
54,54,Female,Books,32.72,0,Bank Transfer,3.7,12,Yes
55,27,Male,Beauty,66.93,20,PayPal,4.4,7,No
56,46,Female,Beauty,130.26,5,Credit Card,3.0,20,No
57,33,Male,Beauty,47.29,25,PayPal,4.3,9,Yes
58,61,Male,Home & Kitchen,205.98,25,Debit Card,4.8,4,Yes
59,21,Male,Home & Kitchen,315.22,15,Bank Transfer,3.2,30,No
60,46,Male,Beauty,21.05,30,Credit Card,3.9,27,No
61,54,Male,Clothing,144.37,15,PayPal,3.7,2,No
62,38,Male,Clothing,152.61,15,Cash,3.3,2,Yes
63,43,Male,Sports,137.77,15,Cash,2.6,24,No
64,36,Female,Sports,110.46,0,Debit Card,3.5,17,Yes
65,47,Male,Sports,216.37,15,Debit Card,3.6,7,No
66,30,Male,Electronics,226.15,10,Bank Transfer,3.2,23,No
67,27,Female,Beauty,126.69,25,Debit Card,3.9,7,No
68,20,Female,Sports,194.09,5,Debit Card,4.9,15,No
69,24,Female,Electronics,345.18,15,Cash,4.9,25,No
70,59,Male,Home & Kitchen,119.42,30,Credit Card,2.6,17,No
71,58,Female,Clothing,89.86,25,Credit Card,4.8,9,No
72,21,Female,Home & Kitchen,226.53,0,Bank Transfer,4.7,19,No
73,49,Male,Clothing,58.81,25,PayPal,2.9,17,No
74,55,Female,Sports,259.67,0,Cash,3.5,7,No
75,62,Female,Electronics,686.33,0,PayPal,4.0,29,No
76,32,Female,Clothing,122.1,25,Credit Card,4.8,3,No
77,46,Male,Beauty,58.49,30,Cash,4.7,17,No
78,28,Female,Books,57.67,30,PayPal,3.1,30,No
79,23,Female,Electronics,182.97,25,Debit Card,3.4,30,No
80,19,Female,Beauty,61.62,5,Cash,4.9,1,No
81,25,Male,Clothing,43.52,15,Debit Card,4.4,18,No
82,59,Male,Books,68.52,5,Cash,3.4,27,No
83,21,Female,Home & Kitchen,275.02,20,Cash,2.6,0,No
84,26,Male,Electronics,416.14,30,Cash,4.0,28,No
85,26,Female,Clothing,219.28,0,Debit Card,3.2,5,No
86,51,Male,Sports,68.74,20,Bank Transfer,4.3,1,No
87,47,Male,Electronics,699.12,0,Credit Card,4.0,10,No
88,35,Female,Books,45.14,30,Bank Transfer,4.1,20,No
89,45,Female,Clothing,189.28,10,PayPal,4.9,11,Yes
90,23,Male,Electronics,278.21,20,PayPal,4.2,10,No
91,60,Female,Sports,57.42,15,Cash,4.6,7,No
92,25,Female,Beauty,94.07,20,Cash,4.0,0,Yes
93,29,Female,Sports,205.77,0,Credit Card,4.4,4,Yes
94,65,Male,Books,74.94,0,Debit Card,2.6,28,Yes
95,61,Male,Home & Kitchen,229.16,10,Bank Transfer,2.8,13,No
96,51,Female,Electronics,151.71,30,Credit Card,3.2,8,Yes
97,49,Female,Clothing,121.12,15,PayPal,4.4,27,Yes
98,47,Male,Home & Kitchen,263.26,10,Bank Transfer,4.5,5,No
99,62,Female,Electronics,263.07,25,Debit Card,3.1,10,Yes
100,50,Male,Beauty,142.62,5,Debit Card,2.9,3,No
101,56,Male,Sports,138.27,25,Bank Transfer,4.7,29,No
102,58,Female,Clothing,127.85,0,Credit Card,3.7,9,Yes
103,41,Female,Electronics,335.79,30,PayPal,4.7,23,No
104,38,Female,Beauty,57.33,20,Debit Card,2.9,20,No
105,46,Male,Home & Kitchen,135.93,25,Credit Card,2.7,10,No
106,36,Female,Sports,186.74,10,PayPal,4.9,9,No
107,56,Male,Home & Kitchen,113.65,25,PayPal,3.8,29,No
108,19,Female,Home & Kitchen,380.64,0,Credit Card,4.6,9,Yes
109,60,Female,Beauty,135.12,5,PayPal,3.6,23,No
110,61,Male,Books,21.74,30,Debit Card,4.8,15,No
111,61,Female,Books,38.14,20,Credit Card,4.7,4,No
112,41,Male,Sports,260.26,5,Debit Card,3.6,26,No
113,40,Male,Books,99.51,0,Cash,4.3,26,No
114,26,Male,Home & Kitchen,337.51,0,Debit Card,3.1,0,No
115,25,Female,Clothing,26.34,15,Bank Transfer,3.8,19,No
116,63,Male,Home & Kitchen,107.11,10,Bank Transfer,4.9,2,Yes
117,42,Female,Electronics,355.59,25,Bank Transfer,4.1,21,No
118,26,Male,Home & Kitchen,71.09,25,Credit Card,4.5,5,No
119,20,Female,Clothing,52.7,20,Debit Card,3.1,15,No
120,40,Male,Sports,230.37,15,PayPal,4.9,10,No
121,41,Female,Electronics,530.79,0,Cash,4.2,10,No
122,56,Female,Clothing,90.77,10,Credit Card,5.0,20,Yes
123,60,Female,Home & Kitchen,75.82,15,Debit Card,2.8,1,No
124,41,Female,Beauty,83.84,5,Cash,3.4,16,No
125,33,Male,Electronics,455.7,15,Cash,5.0,6,No
126,30,Male,Clothing,86.78,30,Credit Card,4.2,10,No
127,37,Male,Sports,207.14,30,PayPal,3.1,4,Yes
128,41,Female,Books,13.32,25,PayPal,3.8,15,Yes
129,26,Female,Sports,141.29,20,Debit Card,4.4,5,No
130,50,Male,Electronics,320.98,20,Credit Card,3.2,28,No
131,30,Female,Clothing,153.25,5,Bank Transfer,4.1,21,No
132,54,Male,Electronics,104.29,20,Bank Transfer,2.6,20,No
133,59,Female,Books,43.2,15,Cash,3.7,15,No
134,38,Female,Sports,51.49,5,PayPal,2.8,14,No
135,27,Male,Electronics,233.94,10,Cash,3.9,29,No
136,28,Female,Beauty,75.89,5,Credit Card,4.0,6,Yes
137,36,Female,Beauty,139.31,10,PayPal,3.4,23,No
138,20,Female,Electronics,390.22,10,Bank Transfer,5.0,26,Yes
139,26,Male,Books,36.47,15,Credit Card,2.6,16,No
140,63,Female,Books,19.19,15,Cash,4.3,19,No
141,50,Female,Sports,125.59,10,Credit Card,4.7,25,No
142,34,Male,Sports,90.69,30,Bank Transfer,3.1,21,Yes
143,30,Male,Books,32.85,30,Credit Card,4.3,27,No
144,51,Male,Beauty,39.22,10,Cash,3.4,17,No
145,30,Male,Home & Kitchen,292.48,25,Cash,3.3,15,No
146,36,Male,Beauty,155.26,10,Credit Card,3.2,1,No
147,46,Female,Sports,50.2,20,Debit Card,4.0,23,Yes
148,60,Male,Sports,50.24,20,PayPal,2.9,29,No
149,59,Male,Home & Kitchen,274.45,25,Debit Card,4.8,27,No
150,29,Male,Books,79.66,10,Cash,4.0,18,No
151,47,Female,Clothing,114.88,10,Cash,3.0,22,No
152,54,Male,Clothing,166.91,0,PayPal,5.0,5,No
153,33,Male,Home & Kitchen,115.91,10,Debit Card,3.4,20,Yes
154,60,Male,Books,90.56,0,Cash,4.8,20,No
155,57,Male,Clothing,110.48,15,Debit Card,3.8,24,No
156,61,Male,Beauty,20.15,20,Debit Card,3.9,6,No
157,38,Female,Electronics,476.69,5,Bank Transfer,3.5,16,Yes
